dates,#calls,weekday,day,month
2018-01-01,16007,0,1,1
2018-01-02,16324,1,2,1
2018-01-03,16980,2,3,1
2018-01-04,14831,3,4,1
2018-01-05,17251,4,5,1
2018-01-06,16841,5,6,1
2018-01-07,15360,6,7,1
2018-01-08,15895,0,8,1
2018-01-09,16177,1,9,1
2018-01-10,17655,2,10,1
2018-01-11,17450,3,11,1
2018-01-12,18023,4,12,1
2018-01-13,17035,5,13,1
2018-01-14,15877,6,14,1
2018-01-15,15416,0,15,1
2018-01-16,16496,1,16,1
2018-01-17,16152,2,17,1
2018-01-18,16156,3,18,1
2018-01-19,16168,4,19,1
2018-01-20,16481,5,20,1
2018-01-21,15534,6,21,1
2018-01-22,15783,0,22,1
2018-01-23,16772,1,23,1
2018-01-24,16772,2,24,1
2018-01-25,16886,3,25,1
2018-01-26,17078,4,26,1
2018-01-27,16980,5,27,1
2018-01-28,15931,6,28,1
2018-01-29,15860,0,29,1
2018-01-30,16713,1,30,1
2018-01-31,16600,2,31,1
2018-02-01,17121,3,1,2
2018-02-02,17491,4,2,2
2018-02-03,16745,5,3,2
2018-02-04,15919,6,4,2
2018-02-05,16403,0,5,2
2018-02-06,16699,1,6,2
2018-02-07,16409,2,7,2
2018-02-08,17320,3,8,2
2018-02-09,17182,4,9,2
2018-02-10,17261,5,10,2
2018-02-11,15802,6,11,2
2018-02-12,16820,0,12,2
2018-02-13,17002,1,13,2
2018-02-14,17382,2,14,2
2018-02-15,17847,3,15,2
2018-02-16,16734,4,16,2
2018-02-17,16312,5,17,2
2018-02-18,15810,6,18,2
2018-02-19,15669,0,19,2
2018-02-20,17021,1,20,2
2018-02-21,17104,2,21,2
2018-02-22,16179,3,22,2
2018-02-23,16441,4,23,2
2018-02-24,16198,5,24,2
2018-02-25,15434,6,25,2
2018-02-26,16187,0,26,2
2018-02-27,16819,1,27,2
2018-02-28,17180,2,28,2
2018-03-01,17834,3,1,3
2018-03-02,18960,4,2,3
2018-03-03,17688,5,3,3
2018-03-04,15985,6,4,3
2018-03-05,16714,0,5,3
2018-03-06,17937,1,6,3
2018-03-07,16975,2,7,3
2018-03-08,17712,3,8,3
2018-03-09,18125,4,9,3
2018-03-10,17100,5,10,3
2018-03-11,15528,6,11,3
2018-03-12,17262,0,12,3
2018-03-13,17379,1,13,3
2018-03-14,17622,2,14,3
2018-03-15,17911,3,15,3
2018-03-16,17748,4,16,3
2018-03-17,16874,5,17,3
2018-03-18,16233,6,18,3
2018-03-19,17007,0,19,3
2018-03-20,17638,1,20,3
2018-03-21,15128,2,21,3
2018-03-22,18224,3,22,3
2018-03-23,17782,4,23,3
2018-03-24,16709,5,24,3
2018-03-25,16324,6,25,3
2018-03-26,17194,0,26,3
2018-03-27,17722,1,27,3
2018-03-28,17882,2,28,3
2018-03-29,17989,3,29,3
